mcl(2)Z3534	FBgn0069177
cv-2	FBgn0000395
exi	FBgn0000612
CG3916	FBgn0038003
mir-4941	FBgn0263570
CG14450	FBgn0037184
Su(dpp)YE5	FBgn0084653
Ir7g	FBgn0029968
CG32596	FBgn0052596
CR44822	FBgn0266069
CG14148	FBgn0040821
CR45572	FBgn0267132
l(3)W33B	FBgn0013619
CG7834	FBgn0039697
5SrRNA:CR33368	FBgn0053368
gce	FBgn0261703
Tfb1	FBgn0033929
CG32851	FBgn0052851
snmRNA:430:CR33728	FBgn0053728
fs(1)ne5	FBgn0000919
l(3)E7-3-58	FBgn0013609
E(tkv)D2	FBgn0025008
beat-Ib	FBgn0028645
Tim13	FBgn0036204
His2A:CG33814	FBgn0053814
bat	FBgn0000161
mir-305	FBgn0262458
CG14683	FBgn0037822
CG43403	FBgn0263322
otp	FBgn0015524
l(2)SH0575	FBgn0065718
l(1)6Eb	FBgn0001426
l(1)ts178	FBgn0005468
CG11398	FBgn0040366
CG13449	FBgn0036520
Pde11	FBgn0085370
Su(var)3-5	FBgn0003596
l(3)65CEc	FBgn0015499
Upf2	FBgn0029992
CG15784	FBgn0029766
Cad99C	FBgn0039709
bnl	FBgn0014135
l(1)G0199	FBgn0027277
rk	FBgn0003255
CG17721	FBgn0037885
CG41311	FBgn0085607
CG13747	FBgn0033364
l(3)psg6	FBgn0262523
CG3097	FBgn0029804
Myo28B1	FBgn0040299
ealk	FBgn0014955
CG1662	FBgn0030481
Su(ro[DOM])345	FBgn0043555
l(2)SH1263	FBgn0065485
mir-4980	FBgn0263558
bnk	FBgn0004389
Su(tor)2-187-2	FBgn0026340
CG32457	FBgn0052457
EP-M71	FBgn0259293
CG10680	FBgn0032836
M(2)34k	FBgn0010063
nemy	FBgn0261673
CG31894	FBgn0051894
l(3)S049604	FBgn0060838
l(3)SzB90Co	FBgn0060970
snoRNA:U31:54Eb	FBgn0063380
l(1)adl3	FBgn0005414
CG31559	FBgn0051559
H15	FBgn0016660
cmb	FBgn0036365
lama	FBgn0016031
Oamb	FBgn0024944
e(Pi3K92E)delta	FBgn0045856
Papss	FBgn0020389
CG15421	FBgn0040708
mbmB	FBgn0002688
snRNA:U2:34ABa	FBgn0004191
CG2807	FBgn0031266
tRNA:Ser-AGA-3-1	FBgn0011980
CG13456	FBgn0040806
fs(1)M94	FBgn0000894
l(3)03670	FBgn0010808
CG14532	FBgn0031966
CG17159	FBgn0039945
l(2)k06501	FBgn0024662
CR45030	FBgn0266390
fs(2)mel4	FBgn0004070
CG15058	FBgn0030907
Lcp4	FBgn0002535
l(3)DTS8	FBgn0002420
CG40844	FBgn0085524
l(3)87Eg	FBgn0002359
l(3)j7A6	FBgn0011796
CR44151	FBgn0265000
CR43985	FBgn0264717
dil(w[a])	FBgn0005009
kek4	FBgn0032484
CG30334	FBgn0050334
l(1)1Ed	FBgn0001349
l(2)SH1218	FBgn0065496
del	FBgn0086251
l(1)v216	FBgn0005446
CG14453	FBgn0037179
CG14977	FBgn0035469
Gfrl	FBgn0262869
CG33679	FBgn0053679
Wbp2	FBgn0036318
CG40295	FBgn0058295
CG15876	FBgn0035569
Myo31DF	FBgn0086347
GS16203	FBgn0267359
CG13663	FBgn0039291
CG10425	FBgn0039304
mir-4962	FBgn0263532
CG31019	FBgn0051019
CR43940	FBgn0264568
rdgH	FBgn0283725
l(2)22Ab	FBgn0001901
Mad	FBgn0011648
l(2)SH0394	FBgn0065806
8H11	FBgn0023418
CG3609	FBgn0031418
CG14929	FBgn0032365
CG9330	FBgn0036888
Ugt86Dc	FBgn0040257
MFS17	FBgn0058263
T:FK506-bp2	FBgn0267346
tRNA:Lys-CTT-1-12	FBgn0052285
CR46115	FBgn0283501
Bkm	FBgn0000192
l(3)72Dq	FBgn0028257
CG17597	FBgn0032715
ttk	FBgn0003870
yeti-MBT	FBgn0042097
scny	FBgn0260936
fs(2)OW210	FBgn0005069
CG11340	FBgn0039840
l(3)SH004	FBgn0065179
PCB	FBgn0027580
CG17612	FBgn0031597
2SrRNA-Psi:CR45850	FBgn0267510
CG15140	FBgn0032631
CG7492	FBgn0035807
hd	FBgn0086695
brv1	FBgn0036874
l(2)254	FBgn0022286
CG14309	FBgn0038611
l(1)74	FBgn0019760
Osi23	FBgn0039771
CG10211	FBgn0032685
CG14057	FBgn0036696
CG13375	FBgn0040370
CG33697	FBgn0053697
CG13639	FBgn0265266
CR46099	FBgn0267768
CG41279	FBgn0085595
anon-65Ba	FBgn0020337
l(1)1Ff	FBgn0001367
CR45531	FBgn0267087
B0572	FBgn0259662
CG45218	FBgn0266745
CG30435	FBgn0050435
CG32459	FBgn0052459
CR44411	FBgn0265584
Tasp1	FBgn0263602
l(2)46Eb	FBgn0023041
CG11815	FBgn0035299
CG31345	FBgn0051345
Mst59Dc	FBgn0005653
CR44452	FBgn0265645
Eig76Ea	FBgn0017624
CR44908	FBgn0266213
l(3)05471	FBgn0024863
CG17294	FBgn0032032
CG12674	FBgn0031388
l(2)k04206	FBgn0025774
CR43723	FBgn0263967
l(2)k03205	FBgn0022222
Sox21b	FBgn0042630
CG6325	FBgn0037814
CG18746	FBgn0042103
CG43894	FBgn0264486
E(faf)E254	FBgn0022814
l(3)S005310	FBgn0061117
B2033	FBgn0259627
mit(1)3	FBgn0002753
CR43882	FBgn0264474
2L3047	FBgn0260108
stalker	FBgn0064138
GSd458	FBgn0260359
l(3)J1	FBgn0067729
l(1)ts4975	FBgn0001848
fs(1)de5	FBgn0000794
l(2)SH0612	FBgn0065706
CG18189	FBgn0042184
CG31934	FBgn0051934
l(3)88EFh	FBgn0062524
E(var)302	FBgn0000603
P-25	FBgn0020390
sdt	FBgn0261873
Est-20	FBgn0010035
fs(2)HO20	FBgn0000974
l(2)47A9-5	FBgn0262650
tRNA:Ile-AAT-1-4	FBgn0011882
Nlg1	FBgn0051146
anon-4Fb	FBgn0014908
mir-276b	FBgn0262381
l(2)k14710	FBgn0021847
AnxB11	FBgn0030749
CR43304	FBgn0262996
CG11982	FBgn0037653
CG15306	FBgn0030191
Msr-110	FBgn0015766
l(2)SH0499	FBgn0065749
CR44943	FBgn0266248
CR46070	FBgn0267739
l(2)23AB4	FBgn0013526
CR44390	FBgn0265540
fb	FBgn0004680
CG7059	FBgn0038957
Gyc89Db	FBgn0038436
Su(var)	FBgn0003585
l(1)TK205	FBgn0005729
l(2)k11404	FBgn0021915
GstE6	FBgn0063494
CG13198	FBgn0033640
anon-17Ac	FBgn0025344
l(2)k11206	FBgn0021925
mt:srRNA	FBgn0013688
l(3)SH043	FBgn0065161
l(2)SH2227	FBgn0065221
l(1)10Bg	FBgn0001493
Drp1	FBgn0026479
Ama::Nrg	FBgn0043845
CG43924	FBgn0264545
p74	FBgn0040085
abd-A::Ubx	FBgn0041610
larv	FBgn0004966
hbs	FBgn0029082
l(3)00714	FBgn0010725
CG32855	FBgn0052855
Mondo	FBgn0032940
CG2909	FBgn0030189
CG10514	FBgn0039312
rols	FBgn0041096
CG1239	FBgn0037368
GEFmeso	FBgn0050115
fz::smo	FBgn0069240
X81	FBgn0010334
Syt1	FBgn0004242
CG43850	FBgn0264432
l(3)neo1	FBgn0011445
CG40923	FBgn0085535
l(2)SH0639	FBgn0065694
CG5189	FBgn0034350
C407	FBgn0259449
Tdc1	FBgn0259977
Nup133	FBgn0039004
CG40175	FBgn0058175
l(3)ry160	FBgn0013557
CG33308	FBgn0250834
Cht6	FBgn0263132
Su(Dl)D107	FBgn0010087
CG15756	FBgn0030493
CG14810	FBgn0029589
Spn28Dc	FBgn0031973
CR45895	FBgn0267555
CG10616	FBgn0036286
fy	FBgn0001084
l(3)rH304	FBgn0024574
CG15333	FBgn0029989
CG31380	FBgn0051380
Ilp2	FBgn0036046
l(1)3Ee	FBgn0001415
CG4617	FBgn0029936
CG32440	FBgn0052440
CG5282	FBgn0036986
l(3)98Da	FBgn0020825
rets	FBgn0026183
CG11964	FBgn0037644
CR45495	FBgn0267051
l(2)03563	FBgn0010544
Cyp6a21	FBgn0033981
List	FBgn0034381
roX1::Dpse\\roX1	FBgn0262784
CG42399	FBgn0259818
Acp54A1	FBgn0083936
l(2)GPMG-14	FBgn0022733
12.82	FBgn0265555
CR46267	FBgn0278597
CG15814	FBgn0030873
Su(Pc)37D	FBgn0003571
Sr-CII	FBgn0020377
abz	FBgn0067854
meso17A	FBgn0010370
sancho-panza	FBgn0260019
MAN1	FBgn0034962
CG31066	FBgn0051066
CR32385	FBgn0047205
Re	FBgn0014017
wrapper	FBgn0025878
CG5555	FBgn0038686
Tehao::Tl	FBgn0043064
Dnz1	FBgn0027453
mRpS14	FBgn0044030
vi	FBgn0020774
CG13443	FBgn0034548
l(3)SH009	FBgn0065177
E(faf)bE365	FBgn0022807
Lsm10	FBgn0033554
CG40358	FBgn0058358
X-146-21	FBgn0069327
l(3)84Bb	FBgn0002302
Gdi	FBgn0004868
anon-k	FBgn0015362
CG10469	FBgn0035678
CG4562	FBgn0038740
l(3)95EFc	FBgn0067353
Acyp	FBgn0025115
CG1468	FBgn0030157
EP3123	FBgn0084764
GG01048	FBgn0259582
CG9962	FBgn0031441
CG40365	FBgn0058365
CG44252	FBgn0265187
Faa	FBgn0016013
Pt-10	FBgn0022381
CG7896	FBgn0039728
CG34371	FBgn0085400
Ir94e	FBgn0259194
Mut181	FBgn0024322
anon-10Ai	FBgn0023125
CG41374	FBgn0085637
mei-P38	FBgn0027114
l(2)PC4-C	FBgn0015977
l(1)17Ag	FBgn0015421
CG11437	FBgn0037165
tyr1	FBgn0003910
sl(2)AM1	FBgn0064140
l(1)291-53	FBgn0011175
l(1)L2	FBgn0016817
5SrRNA:CR33353	FBgn0053353
Aldox89A	FBgn0000065
Edg43A	FBgn0000549
anon-7Ab	FBgn0026301
CG6321	FBgn0036117
CG12416	FBgn0039992
DTD45.8	FBgn0044493
CG13073	FBgn0036577
CR43930	FBgn0264551
stb	FBgn0003521
CG1218	FBgn0037377
compressed	FBgn0000344
Cdc37	FBgn0011573
l(3)97Df	FBgn0013590
3R-196-22	FBgn0070044
S(faf)86	FBgn0043572
mir-281-1	FBgn0262394
CG17258	FBgn0031496
CG1698	FBgn0033443
CG13110	FBgn0032111
l(2)SH0610	FBgn0065707
tw	FBgn0086368
Mgstl	FBgn0025814
BG01856	FBgn0069994
l(3)E8-3-54	FBgn0013610
AcpK	FBgn0000034
sie	FBgn0003407
l(1)dn6	FBgn0001629
l(3)3456	FBgn0260492
Ir68b	FBgn0036250
l(2)SH1089	FBgn0065535
CG17821	FBgn0034383
CG5892	FBgn0038873
BG01257	FBgn0070012
l(2)36Fe	FBgn0002012
l(2)SA	FBgn0020829
His2A:CG33823	FBgn0053823
CR45384	FBgn0266933
CG15599	FBgn0030667
l(1)G0464	FBgn0040155
Su(crc)	FBgn0003553
CG15572	FBgn0029702
snmRNA:430:CR33745	FBgn0053745
l(3)L3D	FBgn0067343
stg	FBgn0003525
CG42709	FBgn0261674
Nrt	FBgn0004108
CG17027	FBgn0036553
l(1)3063	FBgn0001576
CR45731	FBgn0267295
Hlc	FBgn0001565
Ostgamma	FBgn0032015
CG14838	FBgn0035799
Sr-CIII	FBgn0020376
CG14370	FBgn0038158
CG34332	FBgn0085361
larp	FBgn0261618
l(1)HM8	FBgn0001738
CG41252	FBgn0085578
Tango8	FBgn0040737
gou	FBgn0001126
CR43807	FBgn0264351
ms(2)Z2181	FBgn0069122
CG42759	FBgn0261817
snRNA:U6:96Ac	FBgn0004190
l(2)G97	FBgn0005154
clos	FBgn0261016
CR43836	FBgn0264384
Pex3	FBgn0036484
slk	FBgn0014386
ptz	FBgn0014376
CG30033	FBgn0050033
dpr17	FBgn0051361
CG41012	FBgn0085553
l(3)72-73a	FBgn0260636
vig	FBgn0024183
l(3)CHg	FBgn0086423
l(3)S009911	FBgn0061096
CG43209	FBgn0262845
Act42A	FBgn0000043
mir-4972	FBgn0263523
CG40098	FBgn0058098
pt	FBgn0003156
Tsp42Eh	FBgn0033129
Alp2	FBgn0283480
l(1)2Ea	FBgn0001398
Fs(3)Kev	FBgn0001057
Ir11a	FBgn0030385
l(2)H	FBgn0002122
CG13185	FBgn0033661
His1:CG33831	FBgn0053831
CG18672	FBgn0040628
flea\\polyprotein	FBgn0043491
tRNA:Gly-TCC-2-1	FBgn0050407
18.94	FBgn0265558
CR44643	FBgn0265854
chianti	FBgn0020863
CR45200	FBgn0266727
l(1)ESHS47	FBgn0001726
CG34454	FBgn0085483
poly	FBgn0086371
CDC45L	FBgn0026143
l(3)S141908	FBgn0060353
CR44019	FBgn0264789
CG42747	FBgn0261801
VhaM8.9	FBgn0037671
fs(3)HO231	FBgn0001048
l(1)294-44	FBgn0011186
CG14957	FBgn0035412
CG4218	FBgn0250844
l(1)G0422	FBgn0040164
l(2)SH1164	FBgn0065513
tRNA:Val-CAC-2-1	FBgn0011999
wd	FBgn0004004
CG15253	FBgn0028948
Obp50a	FBgn0050067
CG31715	FBgn0051715
CR46095	FBgn0267764
l(3)09904c	FBgn0010937
CG7214	FBgn0031940
EP3135	FBgn0062666
CkIIalpha-i3	FBgn0025676
l(2)SH0153	FBgn0065922
CR45938	FBgn0267600
CG30279	FBgn0050279
wac	FBgn0035120
Sdic2	FBgn0053497
CG41335	FBgn0085621
Obp84a	FBgn0011282
anon-57Co	FBgn0024712
Mod(var)1429	FBgn0062604
CR44347	FBgn0265447
Pgi	FBgn0003074
tRNA:Leu-TAG-1-2	FBgn0051023
CG2199	FBgn0035213
J18	FBgn0067088
CG44437	FBgn0265629
CG2182	FBgn0037360
CG18234	FBgn0265268
CG30428	FBgn0050428
CG43729	FBgn0263980
Dlw	FBgn0011580
CG15459	FBgn0031108
CG40995	FBgn0085551
whd	FBgn0261862
CR44129	FBgn0264960
CR44033	FBgn0264825
CG3902	FBgn0036824
ff4	FBgn0264520
fltF	FBgn0000700
CG6512	FBgn0036702
regucalcin	FBgn0030362
CG30135	FBgn0050135
CG3409	FBgn0033095
srw	FBgn0261952
l(3)S071502	FBgn0060703
CG9743	FBgn0039756
Gr21a::Orco	FBgn0243497
bul	FBgn0000237
raz	FBgn0014378
CG11060	FBgn0033149
l(2)SH0419	FBgn0065794
kl-5	FBgn0267433
CG15221	FBgn0030331
CR43399	FBgn0263290
CG32281	FBgn0052281
Cpr47Eg	FBgn0086519
schuy	FBgn0036925
CG10311	FBgn0038420
l(1)G0097	FBgn0027312
Snapin	FBgn0031455
DAAM	FBgn0025641
spb	FBgn0013734
mcl(3)Z0375	FBgn0069172
tomboy40	FBgn0033074
CG6808	FBgn0037921
MP1	FBgn0027930
CG5028	FBgn0039358
l(1)7Eb	FBgn0001461
l(4)102CDu	FBgn0004549
tRNA:Pro-TGG-1-2	FBgn0011945
CG31908	FBgn0051908
BG01891	FBgn0069992
CG6300	FBgn0038730
l(1)carot10	FBgn0001593
CG6299	FBgn0030641
Pif1B	FBgn0046874
l(3)S113204a	FBgn0060467
CG1544	FBgn0039827
Sin	FBgn0028402
tRNA:Thr-AGT-2-1	FBgn0050298
Stalker2\\ORF1	FBgn0063398
anon-H15	FBgn0027661
CG12555	FBgn0039988
CG40265	FBgn0058265
Or42b	FBgn0033043
Or65b	FBgn0041624
Haspin	FBgn0046706
grk::CHOp24	FBgn0086243
CR44694	FBgn0265905
CG9279	FBgn0036882
l(2)SH0349	FBgn0065831
CG3527	FBgn0029714
l(2)IR4	FBgn0022279
CR45928	FBgn0267590
2-10	FBgn0260781
mamo	FBgn0267033
CR45503	FBgn0267059
CG14644	FBgn0250821
CG5787	FBgn0032454
Vps8	FBgn0035704
l(3)S024639a	FBgn0061028
Cdc42	FBgn0010341
CG32237	FBgn0052237
NimC4	FBgn0260011
CR46216	FBgn0267936
klar	FBgn0001316
CG6961	FBgn0030959
CG14673	FBgn0037352
l(1)ESHS19	FBgn0001698
l(2)SH0433	FBgn0065787
Fs(2)Dor	FBgn0000953
CG10474	FBgn0034427
X-75-9	FBgn0069305
CG4882	FBgn0025336
l(3)S097613b	FBgn0060553
CCKLR-17D1	FBgn0259231
ms(3)A6	FBgn0025141
CR32553	FBgn0052553
CG7322	FBgn0030968
l(1)14Af	FBgn0013514
scaRNA:MeU2-48	FBgn0263471
nAChRalpha2	FBgn0000039
l(3)68Bf	FBgn0002233
CG11686	FBgn0040551
Gcn5	FBgn0020388
CR44818	FBgn0266065
CG40470	FBgn0058470
CG5506	FBgn0036766
Shal	FBgn0005564
Rh5	FBgn0014019
Muc68D	FBgn0036203
CR43945	FBgn0264573
dk	FBgn0005018
l(2)k06107	FBgn0022144
l(3)ET16	FBgn0005221
Adv	FBgn0004614
fw	FBgn0001083
CG14684	FBgn0037824
CG32425	FBgn0052425
R1A1-element\\ORF2	FBgn0044824
fliK	FBgn0005432
St1	FBgn0034887
c189	FBgn0266134
RpS3	FBgn0002622
CG15222	FBgn0040854
Mod(var)1551	FBgn0062593
CR46279	FBgn0283435
tRNA:Pro-TGG-1-5	FBgn0051228
l(3)j2C4	FBgn0011331
MagR	FBgn0026666
l(1)8Da	FBgn0066360
CG34191	FBgn0085220
flrd397	FBgn0000677
Obp19d	FBgn0011280
alpha-Est1	FBgn0015568
l(1)Q56	FBgn0011096
mdy	FBgn0004797
flam	FBgn0267704
SdhA	FBgn0261439
l(2)k06106	FBgn0024663
ppk10	FBgn0065110
l(3)87Bf	FBgn0002337
bow	FBgn0004985
tRNA:Pro-CGG-2-3	FBgn0052200
B2017	FBgn0259574
DIP-alpha	FBgn0052791
CG8027	FBgn0033392
PK11	FBgn0044026
l(1)tsSD19	FBgn0005496
MED21	FBgn0040020
l(2)SH1017	FBgn0065554
B1116	FBgn0259607
GSd324	FBgn0260244
if::mew	FBgn0020849
l(1)5-39-1	FBgn0023044
Mical	FBgn0053208
Su(mg)1-4	FBgn0023163
mcl(2)Z2641	FBgn0069179
CR44842	FBgn0266116
CG31391	FBgn0051391
Su(ss)	FBgn0003581
Theseus	FBgn0067856
Wwox	FBgn0031972
ninaB	FBgn0002937
3.1.38	FBgn0084937
Lcp65Af	FBgn0020639
anon-57Cn	FBgn0024713
l(1)63	FBgn0001574
sng	FBgn0019653
EP-872	FBgn0259399
l(1)HM4	FBgn0001736
28SrRNA-Psi:CR45855	FBgn0267515
Mst98Cb	FBgn0004171
tRNA:Lys-TTT-1-1	FBgn0011902
fs(2)HO294	FBgn0000981
His2B:CG33888	FBgn0053888
l(3)SH093	FBgn0065144
l(3)S004209a	FBgn0061122
CR45031	FBgn0266391
l(2)SH0008	FBgn0065967
BG02601	FBgn0086403
BG01402	FBgn0264306
Srf	FBgn0003505
Su(mg)2-3	FBgn0023156
l(1)5ABa	FBgn0015955
CR46011	FBgn0267675
CG18542	FBgn0037731
Miga	FBgn0030037
Top2	FBgn0003732
CG44094	FBgn0264903
CG43155	FBgn0262685
Cpr49Ah	FBgn0033731
Axs	FBgn0000152
CG14953	FBgn0035396
CG32022	FBgn0052022
CG41576	FBgn0085702
l(3)S000306	FBgn0061145
Mod(var)1641	FBgn0062589
l(2)25Cf	FBgn0001925
en::osa	FBgn0040225
CG31343	FBgn0051343
l(3)64Be	FBgn0014294
CG13856	FBgn0038959
l(2)SH0735	FBgn0065649
ND-42	FBgn0019957
CG40370	FBgn0058370
Cyp18a1	FBgn0010383
tilJ	FBgn0016953
CG18130	FBgn0030359
CG12259	FBgn0039557
Octbeta2R	FBgn0038063
CG43180	FBgn0262809
CR44050	FBgn0264842
l(2)SH0413	FBgn0065798
fs(2)OWc3	FBgn0005091
l(2)38EFb	FBgn0025169
Pvr::Hsap\\PDGFRA	FBgn0082640
l(1)air14	FBgn0004487
mbc	FBgn0015513
olfB	FBgn0002991
CG6813	FBgn0037923
l(2)SH1612	FBgn0065397
D19A	FBgn0022935
CG43841	FBgn0264393
dmrt99B	FBgn0039683
mir-275	FBgn0262453
CG6084	FBgn0086254
2L2468	FBgn0260612
l(3)S083805	FBgn0060647
CG44153	FBgn0265002
mat(2)cell-E	FBgn0002656
CG5969	FBgn0036998
l(3)neo38	FBgn0265276
CR44672	FBgn0265883
l(3)S072114	FBgn0060698
CR45562	FBgn0267122
JJF136	FBgn0069418
CG5149	FBgn0031904
CG5577	FBgn0036759
Mod(var)234	FBgn0062582
l(2)SH0318	FBgn0065846
CR44614	FBgn0265825
kdn	FBgn0261955
swaPsi	FBgn0016974
DhpD	FBgn0261436
ebd1	FBgn0035153
CR31026	FBgn0051026
CR43960	FBgn0264675
Gr64c	FBgn0045477
l(2)46DEd	FBgn0015966
ms(2)1R	FBgn0002816
l(3)neo2	FBgn0011446
Su(dpp)YE31	FBgn0084894
fltM	FBgn0000707
E(rst)H253	FBgn0044082
CG32813	FBgn0052813
snmRNA:204	FBgn0065101
His4:CG33909	FBgn0053909
l(2)k14316	FBgn0024631
l(3)00421	FBgn0028592
CG7512	FBgn0036168
sht	FBgn0003400
mcl(3)Z1550	FBgn0069164
l(1)G0151	FBgn0028358
Rw	FBgn0003306
l(2)SH1202	FBgn0065503
CG13915	FBgn0040691
anon-23Ac	FBgn0041609
l(2)SH0415	FBgn0065797
anon-31Ea	FBgn0014090
CG44005	FBgn0264747
CG14442	FBgn0029893
CG9018	FBgn0035318
CR45203	FBgn0266730
eve::prd	FBgn0014160
cher	FBgn0014141
CG13714	FBgn0040701
CR43889	FBgn0264481
l(1)Q76	FBgn0011115
l(3)psg15	FBgn0277419
epsilonTry	FBgn0010425
TER94	FBgn0261014
CG8157	FBgn0034010
GSd088	FBgn0260300
CG42741	FBgn0261705
CG42598	FBgn0260997
l(1)dd3	FBgn0001611
l(2)22Aa	FBgn0001900
sced	FBgn0013732
CG13359	FBgn0025616
Prosalpha5	FBgn0016697
snoRNA:U49:66Da	FBgn0060292
tkv::tor	FBgn0016960
EnNuc-m	FBgn0011262
CG18091	FBgn0024368
Spec2	FBgn0044823
Antp::Scr	FBgn0012038
CG15763	FBgn0040869
p400	FBgn0041729
CG4911	FBgn0035959
Ubc84D	FBgn0017456
meso4	FBgn0024619
mRpL19	FBgn0037608
CR45300	FBgn0266838
CG9815	FBgn0034861
EP1174	FBgn0261719
Idgf6	FBgn0013763
RpL7-like	FBgn0032404
EP1121a	FBgn0043378
M(2)50E	FBgn0261595
road	FBgn0061486
EP-284	FBgn0259373
GSd306	FBgn0260312
scaRNA:PsiU1-6	FBgn0263477
l(1)15Ab	FBgn0001545
kraken	FBgn0020545
pjc-16	FBgn0028578
l(3)S089004	FBgn0028073
p24-1	FBgn0030341
CG13096	FBgn0032050
CR44513	FBgn0265706
svr	FBgn0004648
CoRest	FBgn0261573
CG17173	FBgn0036447
l(3)Sp2	FBgn0002512
siren3	FBgn0260039
Sxl::w	FBgn0017483
l(1)G0463	FBgn0067734
l(1)B8.5	FBgn0022318
BG02510	FBgn0086402
l(1)adl2	FBgn0010127
l(2)k07109a	FBgn0022105
CR44202	FBgn0265097
Cdi11	FBgn0010319
l(1)M5	FBgn0001757
saw	FBgn0003316
l(1)3Ap	FBgn0023047
inaD	FBgn0001263
E(smoDN)111	FBgn0083318
obst-E	FBgn0031737
CG34276	FBgn0085305
Tyr3	FBgn0003912
CG15369	FBgn0030105
CR44597	FBgn0265808
EP3140	FBgn0062664
CG14829	FBgn0035751
fs(1)M64	FBgn0000869
Con	FBgn0005775
l(3)S135111b	FBgn0060379
CR45588	FBgn0267148
l(3)62Bc	FBgn0002179
mex	FBgn0002724
CG5432	FBgn0039425
l(3)S011513a	FBgn0061089
CG18587	FBgn0036132
cra	FBgn0000367
l(3)c00213	FBgn0069187
l(1)Q211	FBgn0011136
l(2)SH0432	FBgn0065788
l(3)R78	FBgn0005240
CG12115	FBgn0030097
Stlk	FBgn0046692
Fas1::sns	FBgn0082673
snmRNA:430:CR33732	FBgn0053732
l(3)neo53a	FBgn0014305
CG5027	FBgn0036579
whh	FBgn0004013
Su(var)2-HP2	FBgn0026427
HM274	FBgn0082356
Su(var)99C99E	FBgn0024720
CG6227	FBgn0030631
TkR86C	FBgn0004841
CG5001	FBgn0031322
Fum	FBgn0001082
trx	FBgn0003862
CG18810	FBgn0042133
snRNA:U5:14B	FBgn0003933
mc	FBgn0002691
CG17568	FBgn0032763
CG44040	FBgn0264832
CG4538	FBgn0038745
E(To)5	FBgn0046120
CG5157	FBgn0036575
tld	FBgn0003719
l(2)SH0987	FBgn0065562
prem	FBgn0066332
prd8	FBgn0004441
fbp	FBgn0032820
Cys	FBgn0004629
CG31484	FBgn0051484
CG14185	FBgn0036936
AP-2mu::stnB	FBgn0265603
DCP2	FBgn0036534
CG14581	FBgn0040645
snmRNA:430:CR33746	FBgn0053746
E(zip)18-5	FBgn0069441
mRpL32	FBgn0039835
wisp	FBgn0260780
CheA56a	FBgn0262595
Pur-r	FBgn0003168
CG9194	FBgn0035192
CR43097	FBgn0262543
CG17283	FBgn0038505
Masc29a	FBgn0044040
anon-38E.6	FBgn0046630
l(2)SH0980	FBgn0065565
CG13905	FBgn0035176
CG3842	FBgn0029866
elyC	FBgn0000574
pdgy	FBgn0027601
podM	FBgn0005336
scw	FBgn0005590
CG33170	FBgn0053170
CG40336	FBgn0058336
ORMDL	FBgn0037110
P30	FBgn0062561
fs(1)M73	FBgn0000875
CG6244	FBgn0036531
CG11342	FBgn0035537
CG14323	FBgn0038529
EU820	FBgn0261959
Twdlalpha	FBgn0052574
CR43854	FBgn0264436
nr	FBgn0002966
66Dem	FBgn0008639
CR45264	FBgn0266802
l(1)K84.3	FBgn0022309
WppB	FBgn0023141
psh	FBgn0030926
l(2)SH0416	FBgn0065796
E(zip)31-6	FBgn0069440
CR46069	FBgn0267738
CR44924	FBgn0266229
l(2)G78	FBgn0005149
l(2)SH2238	FBgn0065218
Tsp42Ei	FBgn0033130
CR46053	FBgn0267720
CG6421	FBgn0025827
l(2)SH0377	FBgn0065817
CG12677	FBgn0040706
l(2)00572	FBgn0010463
CG14336	FBgn0038495
Hs3st-A	FBgn0053147
CG42852	FBgn0262099
l(3)S007359	FBgn0061109
CG16781	FBgn0029661
CR45547	FBgn0267107
l(2)k09848	FBgn0021984
NAT1	FBgn0010488
SmydA-1	FBgn0033917
ssh	FBgn0029157
l(2)Sp9b	FBgn0005195
Oef2	FBgn0017562
CR45893	FBgn0267553
l(2)SH1604	FBgn0065400
Cyp4e2	FBgn0014469
smu	FBgn0019654
mip130	FBgn0023509
BG02330	FBgn0069983
anon-J7	FBgn0022744
l(2)10610	FBgn0011622
Vps37B	FBgn0037299
CG43447	FBgn0263401
l(3)S045822	FBgn0060875
l(3)j1D5	FBgn0011316
CG30471	FBgn0050471
Vm26Ac	FBgn0086266
CG8563	FBgn0035777
CG3038	FBgn0040373
CG1806	FBgn0030360
Amt	FBgn0038309
GABA-B-R1	FBgn0260446
mir-961	FBgn0262239
CG13566	FBgn0034942
CG7213	FBgn0035861
l(2)SH2245	FBgn0065216
EP-A	FBgn0259251
twin	FBgn0011725
inaB	FBgn0001261
splinter	FBgn0022963
l(1)14Ag	FBgn0013497
CG14294	FBgn0038656
S6kII	FBgn0262866
slmb	FBgn0283468
acd(2)5M8	FBgn0024261
acd(2)5D10	FBgn0024268
CR43247	FBgn0262892
CR43467	FBgn0263444
Tap42	FBgn0051852
l(2)45Aq	FBgn0061496
l(1)10Al	FBgn0028367
slo	FBgn0003429
CR44829	FBgn0266087
EP2522	FBgn0082371
l(1)A14	FBgn0019732
l(1)TK127	FBgn0005719
CR44860	FBgn0266154
CG6345	FBgn0037816
GIIIB	FBgn0046710
CG1561	FBgn0030317
l(3)06664	FBgn0010897
l(3)S105307	FBgn0028017
Sep4	FBgn0259923
ttp	FBgn0015554
CR43424	FBgn0263343
acj4	FBgn0013382
CG7943	FBgn0039741
mcl(2)Z0338	FBgn0069182
CG7156	FBgn0038588
mmei-1	FBgn0021775
